Cell_Index,X,Y,Z
1,-2440234.5735555035,-4226610.263784307,4095199.8613129416
2,-2424089.8991104206,-4198646.8673737645,4133375.5750141195
3,-2394625.04670055,-4234213.897338581,4114224.660528301
4,-2410694.571982308,-4262047.131580098,4075922.831556665
5,-2456228.9496739367,-4254313.335856799,4056771.917070846
6,-2485693.802083806,-4218746.305891982,4075922.831556665
7,-2469624.276802049,-4190913.0716504655,4114224.660528301
8,-2407795.9207174983,-4170424.868939793,4171296.706865227
9,-2368802.112236886,-4202881.50538336,4161034.078780005
10,-2348868.0306896865,-4241556.738233679,4132996.057431997
11,-2353334.9971283283,-4276087.57008142,4094695.407998767
12,-2381006.0915029612,-4297221.492419006,4056394.7585655376
13,-2424466.866422214,-4299295.687823181,4028356.7372175287
14,-2472072.0423440454,-4281754.377310449,4018094.109132307
15,-2511065.850824657,-4249297.740866883,4028356.7372175287
16,-2530999.9323718552,-4210622.508016564,4056394.7585655376
17,-2526532.9659332144,-4176091.6761688227,4094695.407998767
18,-2498861.8715585833,-4154957.7538312357,4132996.057431997
19,-2455401.0966393286,-4152883.558427061,4161034.078780005
